470 Q0 WTX001-B09-36 0 0,306619 QueryExpansion
470 Q0 WTX001-B10-190 1 0,224345 QueryExpansion
470 Q0 WTX001-B21-195 2 0,218323 QueryExpansion
470 Q0 WTX001-B08-186 3 0,147803 QueryExpansion
470 Q0 WTX001-B23-313 4 0,123169 QueryExpansion
470 Q0 WTX001-B43-172 5 0,123169 QueryExpansion
470 Q0 WTX001-B31-108 6 0,073901 QueryExpansion
470 Q0 WTX001-B34-461 7 0,073901 QueryExpansion
470 Q0 WTX001-B20-217 8 0,049268 QueryExpansion
470 Q0 WTX001-B05-69 9 0,030792 QueryExpansion
471 Q0 WTX001-B48-55 0 0,035379 QueryExpansion
471 Q0 WTX001-B15-85 1 0,028224 QueryExpansion
471 Q0 WTX001-B33-225 2 0,016730 QueryExpansion
471 Q0 WTX001-B33-231 3 0,016056 QueryExpansion
471 Q0 WTX001-B23-127 4 0,014782 QueryExpansion
471 Q0 WTX001-B02-150 5 0,014574 QueryExpansion
471 Q0 WTX001-B14-9 6 0,013642 QueryExpansion
471 Q0 WTX001-B39-39 7 0,013183 QueryExpansion
471 Q0 WTX001-B19-268 8 0,013084 QueryExpansion
471 Q0 WTX001-B20-32 9 0,012755 QueryExpansion
472 Q0 WTX001-B09-23 0 0,000000 QueryExpansion
472 Q0 WTX001-B09-27 1 0,000000 QueryExpansion
472 Q0 WTX001-B09-28 2 0,000000 QueryExpansion
472 Q0 WTX001-B09-30 3 0,000000 QueryExpansion
472 Q0 WTX001-B09-33 4 0,000000 QueryExpansion
472 Q0 WTX001-B09-36 5 0,000000 QueryExpansion
472 Q0 WTX001-B09-38 6 0,000000 QueryExpansion
472 Q0 WTX001-B09-39 7 0,000000 QueryExpansion
472 Q0 WTX001-B09-41 8 0,000000 QueryExpansion
472 Q0 WTX001-B09-43 9 0,000000 QueryExpansion
473 Q0 WTX001-B14-97 0 0,070575 QueryExpansion
473 Q0 WTX001-B23-415 1 0,063723 QueryExpansion
473 Q0 WTX001-B48-245 2 0,043594 QueryExpansion
473 Q0 WTX001-B34-619 3 0,039652 QueryExpansion
473 Q0 WTX001-B45-411 4 0,034919 QueryExpansion
473 Q0 WTX001-B14-158 5 0,032458 QueryExpansion
473 Q0 WTX001-B41-60 6 0,032114 QueryExpansion
473 Q0 WTX001-B44-196 7 0,031659 QueryExpansion
473 Q0 WTX001-B30-288 8 0,031641 QueryExpansion
473 Q0 WTX001-B14-40 9 0,028823 QueryExpansion
474 Q0 WTX001-B14-107 0 0,015332 QueryExpansion
474 Q0 WTX001-B22-174 1 0,014345 QueryExpansion
474 Q0 WTX001-B11-270 2 0,014247 QueryExpansion
474 Q0 WTX001-B23-27 3 0,013717 QueryExpansion
474 Q0 WTX001-B22-245 4 0,012863 QueryExpansion
474 Q0 WTX001-B41-50 5 0,012863 QueryExpansion
474 Q0 WTX001-B23-124 6 0,012863 QueryExpansion
474 Q0 WTX001-B20-129 7 0,012863 QueryExpansion
474 Q0 WTX001-B20-23 8 0,012777 QueryExpansion
474 Q0 WTX001-B27-362 9 0,011980 QueryExpansion
475 Q0 WTX001-B09-45 0 0,000000 QueryExpansion
475 Q0 WTX001-B09-218 1 0,000000 QueryExpansion
